team1,team2,outcome,sd
GER,POL,2.0999333333333348,2.352767619409508
MEX,POL,0.5559000000000002,1.872285289565176
KOR,POL,-0.14016666666666674,2.138100696427794
BEL,POL,0.27929999999999994,2.0697906816440472
PAN,POL,-0.8422666666666668,1.807686394317444
ENG,POL,1.2503666666666662,1.9098353118799731
COL,POL,0.008100000000000012,1.8229704847671615
JPN,POL,0.08676666666666664,1.751562235223475
RUS,SEN,1.023266666666667,1.887658943216476
KSA,SEN,-0.06080000000000005,1.5865917756248824
EGY,SEN,0.3169999999999998,1.6938944612284585
POR,SEN,1.3941999999999999,1.7735995739385844
ESP,SEN,1.3099333333333338,2.0642268001221336
MAR,SEN,-0.11853333333333334,1.6766421124085364
IRN,SEN,0.4537000000000001,1.8370909990798012
FRA,SEN,1.1903333333333335,1.5199185556940205
AUS,SEN,0.6450666666666666,1.8310209185307205
PER,SEN,0.054066666666666686,1.6352027105830902
DEN,SEN,0.8182999999999999,1.8910411491291892
ARG,SEN,1.5489666666666668,2.1050446610318665
ISL,SEN,-0.14266666666666672,1.7761791896981347
CRO,SEN,0.7166333333333333,1.677801315896002
NGA,SEN,0.6974999999999999,1.6704962265937346
BRA,SEN,1.442933333333333,1.8917627980482303
CRC,SEN,0.4917333333333335,1.8063448924298708
GER,SEN,1.9222999999999997,2.3656983207644022
MEX,SEN,0.9180333333333335,1.8054831313429702
KOR,SEN,0.47116666666666657,1.6844261798407456
BEL,SEN,1.0789000000000006,2.0187039597002268
PAN,SEN,-0.6404000000000003,2.005222266818658
ENG,SEN,1.568133333333333,1.8698923794102988
POL,SEN,0.13013333333333338,1.7696905040348874
COL,SEN,0.5757000000000004,1.9718352140978836
JPN,SEN,0.5373333333333332,1.711808048764186
AUS,COL,-0.6742999999999999,2.389436472611613
ARG,COL,0.7504333333333331,2.1289127156659267
BRA,COL,0.8864333333333333,2.079367327462995
BEL,COL,0.2005666666666667,2.2083433750291603
EGY,JPN,-0.5560000000000003,1.6271923874228669
ESP,JPN,0.4265666666666666,1.5638678972485283
IRN,JPN,-0.3433333333333333,1.4901031781826137
FRA,JPN,0.5043333333333334,1.391384126855636
AUS,JPN,-0.4110666666666668,1.439167174244172
DEN,JPN,0.6606999999999996,1.4184726431195482
ARG,JPN,0.6058333333333331,1.7196468657570478
ISL,JPN,-0.33620000000000005,1.5262942914404558
CRO,JPN,0.2956999999999998,1.4421980687227898
BRA,JPN,0.4669,1.5561284635026698
CRC,JPN,-0.28476666666666683,1.6580416946473466
GER,JPN,2.0302000000000002,2.718080920019776
BEL,JPN,0.14973333333333333,1.6653655362060338
ENG,JPN,0.7395333333333333,1.3721781448770096
COL,JPN,0.3945,1.5143422089351655
