winner
IRN
ENG
AUS
SWE
CIV
ENG
SUI
ARG
BEL
KSA
SEN
ENG
RUS
BRA
MEX
KSA
SWE
BEL
SEN
BRA
KSA
KSA
ARG
AUS
ARG
USA
ITA
SEN
ENG
USA
CRO
AUS
SEN
AUS
CIV
POL
GER
ESP
SRB
USA
GER
BEL
BEL
FRA
IRN
FRA
SRB
ARG
CIV
TUN
SUI
SUI
POL
JPN
ENG
BEL
ENG
BEL
ESP
ARG
JPN
CIV
TUN
ARG
CIV
SEN
USA
CIV
SUI
FRA
POL
FRA
ARG
BEL
SUI
SUI
ENG
ESP
ARG
ESP
AUS
TUN
SUI
ESP
CIV
CIV
FRA
BEL
ENG
FRA
ESP
USA
USA
RUS
BEL
ARG
RUS
SEN
BEL
KSA
SRB
IRN
SUI
ENG
USA
ARG
ENG
ENG
RUS
CIV
BRA
ARG
BRA
SEN
RUS
GER
GER
BEL
IRN
ESP
ESP
CIV
CIV
SWE
CIV
SEN
BEL
ARG
FRA
CIV
KSA
SEN
GER
SEN
SEN
CHI
SEN
USA
BEL
CIV
BRA
RUS
TUN
USA
FRA
IRN
ARG
ENG
RUS
ITA
USA
ARG
BEL
CIV
AUS
POR
CIV
RUS
SEN
SEN
FRA
USA
GER
BEL
ARG
SEN
ARG
CIV
TUN
USA
FRA
CIV
USA
ENG
ITA
ESP
SEN
ARG
BEL
SEN
SRB
POR
SEN
SEN
BEL
ENG
RUS
BRA
CIV
KSA
ARG
IRN
USA
ITA
ARG
RUS
NGA
POL
GER
IRN
USA
ARG
CIV
JPN
GER
POL
RUS
RUS
ENG
IRN
ARG
ARG
ENG
AUS
CIV
SUI
KOR
CHI
SEN
BEL
ARG
SUI
POR
COL
IRN
JPN
ENG
ARG
IRN
USA
USA
IRN
MEX
ESP
ARG
USA
FRA
SEN
FRA
ARG
CIV
BRA
KOR
IRN
GER
IRN
TUN
FRA
TUN
TUN
IRN
BEL
KSA
SRB
IRN
ARG
MEX
TUN
TUN
BRA
IRN
KSA
ITA
IRN
ESP
ENG
ARG
POL
ARG
NGA
SUI
ARG
NGA
SWE
CRC
FRA
RUS
ARG
SUI
ENG
FRA
BEL
RUS
SRB
SRB
FRA
ITA
ITA
ARG
TUN
GER
USA
BEL
FRA
AUS
KSA
CRO
ARG
GER
RUS
ITA
MEX
USA
ARG
ITA
SEN
SEN
IRN
ARG
KSA
POL
IRN
RUS
FRA
ENG
IRN
USA
SUI
ESP
ENG
ENG
KSA
ARG
ESP
BEL
SRB
BRA
SUI
CIV
ARG
SEN
CIV
CIV
TUN
GER
TUN
ESP
USA
IRN
POL
ESP
ARG
ESP
ARG
IRN
BRA
ARG
CIV
GER
ARG
BRA
KSA
NGA
BEL
CIV
TUN
USA
USA
ARG
ARG
POR
ARG
FRA
CIV
ARG
ARG
USA
CRO
SEN
SUI
TUN
POR
POL
RUS
TUN
BRA
ENG
POR
SEN
CIV
CRC
CIV
MEX
SUI
CRO
CIV
RUS
CIV
USA
ESP
ARG
BEL
ENG
ARG
BEL
SUI
SUI
ARG
SEN
IRN
POL
USA
POR
USA
IRN
IRN
ARG
GER
KSA
IRN
BRA
CIV
USA
ENG
USA
GER
ESP
BRA
ESP
ARG
CIV
SEN
FRA
FRA
ENG
IRN
POL
CRC
KSA
SWE
KSA
ENG
BRA
CHI
KSA
ARG
GER
POR
ARG
BEL
FRA
CRC
KSA
CIV
RUS
ARG
ESP
BEL
CIV
ENG
FRA
CIV
SRB
SEN
CIV
FRA
BRA
POR
FRA
USA
FRA
MEX
COL
ARG
SEN
GER
AUS
ARG
RUS
IRN
ESP
KSA
ARG
RUS
JPN
ARG
ENG
KOR
RUS
RUS
GER
KSA
SRB
ARG
USA
ENG
KSA
POR
ARG
FRA
SEN
RUS
IRN
CHI
TUN
KSA
ITA
FRA
KSA
ARG
ITA
RUS
CHI
CRC
GER
ENG
ENG
CIV
BEL
BRA
ESP
SWE
CIV
CIV
NGA
ARG
MEX
CHI
BEL
KSA
ENG
ENG
TUN
IRN
KSA
CIV
FRA
ISL
KSA
FRA
SEN
RUS
POL
BRA
POR
ARG
KSA
ARG
POL
POL
POR
USA
CIV
SWE
CIV
POR
SEN
COL
SRB
SEN
BRA
AUS
CIV
IRN
ITA
GER
CIV
SRB
ITA
KOR
ESP
ENG
ESP
GER
CIV
USA
RUS
FRA
SEN
ARG
IRN
RUS
JPN
IRN
ENG
RUS
CIV
ENG
CIV
CHI
KSA
SUI
BEL
BRA
RUS
CRO
ARG
RUS
ENG
ESP
RUS
SUI
NGA
KSA
POR
SEN
POL
TUN
FRA
ENG
CIV
ARG
IRN
AUS
SEN
RUS
GER
SUI
ESP
ESP
IRN
SEN
ESP
RUS
GER
CHI
CIV
SEN
POR
ESP
MEX
SRB
ESP
RUS
ENG
CIV
GER
TUN
USA
ARG
KOR
RUS
AUS
POR
RUS
ENG
ARG
ARG
RUS
ESP
ESP
RUS
ARG
ARG
ARG
ARG
ISL
POR
FRA
FRA
RUS
COL
ARG
FRA
ARG
POR
FRA
CHI
RUS
BEL
RUS
SEN
ARG
RUS
CIV
ARG
KSA
TUN
GER
CIV
KSA
ENG
SRB
JPN
EGY
CIV
USA
IRN
IRN
RUS
FRA
SEN
CHI
ENG
ARG
SUI
SEN
GER
ENG
FRA
TUN
IRN
ENG
BEL
ARG
BRA
KOR
SRB
CIV
SEN
TUN
JPN
ARG
POL
POL
CRO
USA
BEL
IRN
CRO
USA
BEL
ESP
RUS
CHI
SUI
TUN
CRO
KOR
AUS
IRN
ENG
ARG
KSA
RUS
SEN
FRA
FRA
SEN
FRA
CIV
KSA
KOR
BEL
BEL
FRA
IRN
POR
ARG
CHI
BRA
RUS
ISL
SUI
SUI
SEN
ENG
CIV
ARG
IRN
GER
FRA
KSA
KSA
KSA
KOR
RUS
KOR
SRB
CRO
SEN
CHI
SUI
ENG
AUS
BEL
ARG
TUN
ARG
CIV
IRN
ENG
BEL
SEN
SEN
ARG
USA
USA
IRN
RUS
ARG
ARG
FRA
ENG
CIV
ARG
IRN
ARG
CHI
IRN
CIV
ARG
TUN
BEL
POL
CIV
ESP
SRB
POL
SEN
BEL
ARG
EGY
MEX
ENG
ARG
SEN
MEX
BEL
IRN
ESP
MEX
BEL
ESP
KSA
RUS
CIV
TUN
KSA
ARG
KSA
CHI
RUS
ESP
BEL
CIV
SEN
BEL
COL
FRA
BRA
GER
CIV
IRN
RUS
GER
ENG
IRN
USA
ENG
CHI
CIV
NGA
ENG
POR
ENG
ESP
CRO
CIV
TUN
USA
GER
KOR
COL
SRB
ENG
MEX
KOR
USA
ENG
FRA
FRA
JPN
ENG
KSA
SRB
RUS
JPN
ARG
RUS
ITA
KSA
ENG
TUN
AUS
SEN
EGY
POR
IRN
AUS
IRN
CIV
FRA
ARG
ESP
RUS
IRN
SEN
ARG
SUI
FRA
RUS
USA
SEN
POL
KSA
IRN
POR
ESP
BEL
ARG
USA
TUN
SEN
FRA
BEL
KOR
BRA
KSA
FRA
IRN
JPN
IRN
IRN
SUI
CRO
TUN
CHI
EGY
AUS
ARG
RUS
SEN
POR
GER
POR
KSA
BRA
EGY
ARG
CIV
USA
SEN
KSA
ARG
ARG
BEL
ENG
ARG
CRO
KOR
SRB
CIV
ENG
BEL
ARG
KSA
KSA
GER
USA
TUN
POR
FRA
ARG
RUS
ARG
KSA
ENG
BEL
ESP
CHI
MEX
RUS
NGA
USA
FRA
BEL
GER
ESP
ENG
ARG
CIV
ISL
ITA
POL
SEN
FRA
MEX
BRA
BRA
ENG
ESP
CIV
ARG
FRA
CIV
POL
SEN
KOR
ENG
CRC
CHI
IRN
AUS
ARG
CRO
BEL
FRA
RUS
FRA
KSA
IRN
RUS
SEN
GER
FRA
ARG
GER
IRN
BEL
SEN
SEN
TUN
POR
POR
FRA
KSA
ENG
ENG
BEL
CIV
ENG
USA
ITA
ARG
RUS
AUS
SRB
SWE
IRN
KOR
RUS
ARG
IRN
USA
SEN
KOR
CIV
KOR
ARG
ENG
KSA
BEL
IRN
ENG
SUI
RUS
MEX
IRN
ARG
ESP
ENG
SUI
ARG
FRA
ESP
KSA
TUN
CIV
IRN
POL
ARG
FRA
EGY
KSA
JPN
TUN
POL
CIV
BEL
USA
USA
FRA
POR
ARG
MEX
IRN
POR
IRN
SEN
MEX
KSA
ITA
ARG
USA
CRC
SUI
ARG
ESP
IRN
ESP
ESP
CHI
FRA
ENG
IRN
MEX
SUI
ARG
ENG
CHI
RUS
ENG
BEL
CIV
SWE
KSA
GER
SEN
FRA
RUS
CRC
ARG
IRN
BEL
ESP
IRN
USA
CIV
RUS
BRA
POR
ESP
BRA
POL
FRA
USA
ARG
AUS
SRB
KSA
CHI
CRC
JPN
IRN
CHI
FRA
USA
RUS
IRN
EGY
EGY
ARG
POR
ARG
CIV
KSA
ARG
BEL
BEL
USA
POR
CRO
CIV
CIV
ARG
KSA
TUN
KSA
CRO
MEX
RUS
ITA
AUS
KOR
COL
SEN
CIV
BEL
IRN
CHI
BRA
ARG
ENG
ESP
SRB
KSA
SUI
USA
ARG
KSA
CHI
RUS
BEL
ESP
ENG
BRA
IRN
ARG
KSA
CHI
JPN
ARG
IRN
POL
KSA
RUS
COL
FRA
ARG
CHI
MEX
ESP
SEN
CRO
ENG
ARG
ARG
SUI
SRB
RUS
CRO
FRA
POR
ARG
ENG
ESP
CHI
ENG
EGY
ESP
RUS
JPN
ARG
RUS
RUS
FRA
USA
ESP
CIV
ESP
BEL
CIV
TUN
ENG
BEL
ESP
IRN
USA
KSA
RUS
ESP
BEL
SEN
KOR
IRN
ENG
TUN
BRA
ARG
ITA
SEN
MEX
BEL
SEN
RUS
GER
GER
GER
TUN
POL
RUS
NGA
ARG
ARG
RUS
TUN
BRA
ARG
POR
IRN
FRA
BEL
ENG
IRN
POL
AUS
FRA
CIV
BEL
CIV
USA
RUS
CIV
IRN
CRO
ARG
FRA
BRA
ARG
BEL
SUI
USA
FRA
ENG
BEL
CIV
USA
ARG
KSA
RUS
TUN
SEN
ARG
ARG
IRN
FRA
ARG
TUN
TUN
RUS
CIV
JPN
ENG
EGY
ENG
SRB
ITA
USA
CIV
SEN
KSA
SEN
RUS
SEN
KSA
JPN
BRA
IRN
NGA
ARG
USA
ENG
POL
POR
CIV
CIV
ESP
EGY
ESP
USA
MEX
ENG
SUI
USA
ENG
KSA
EGY
ARG
SEN
BRA
FRA
CIV
CRO
ARG
KOR
SUI
POL
CRC
FRA
FRA
FRA
ENG
BRA
CIV
ESP
CHI
USA
CIV
POL
KSA
FRA
ITA
ESP
CIV
KOR
FRA
SEN
ARG
SEN
BEL
USA
POL
CRC
RUS
BEL
SEN
NGA
CIV
SEN
ESP
SEN
ESP
BEL
IRN
ENG
TUN
CIV
SEN
IRN
FRA
BEL
MEX
ESP
GER
SRB
MEX
KOR
SWE
CIV
MEX
SEN
CRC
CRO
FRA
AUS
RUS
FRA
SWE
IRN
TUN
CIV
USA
FRA
RUS
ENG
ARG
IRN
POR
KOR
IRN
SEN
ARG
RUS
CIV
SRB
MEX
KOR
USA
KSA
RUS
COL
FRA
RUS
SEN
RUS
ESP
IRN
FRA
AUS
FRA
ENG
ARG
USA
BRA
BEL
CHI
BRA
TUN
KOR
SEN
SEN
RUS
AUS
CIV
ARG
USA
IRN
SUI
SRB
SRB
CRO
ESP
IRN
BEL
CHI
POR
FRA
SEN
SRB
ENG
BEL
RUS
BRA
ARG
RUS
IRN
CIV
CIV
KOR
KOR
BRA
ESP
ARG
CIV
ENG
CHI
KSA
BRA
CIV
KSA
KSA
CRO
CHI
ENG
RUS
IRN
RUS
FRA
BEL
EGY
SEN
BRA
RUS
ARG
ARG
POR
POR
CHI
IRN
BEL
KSA
ARG
IRN
IRN
ARG
ENG
KSA
CIV
SRB
KSA
MEX
BRA
IRN
ENG
SEN
SEN
USA
NGA
FRA
ARG
BRA
RUS
CHI
BRA
ESP
BEL
CIV
BRA
RUS
KSA
RUS
SEN
POR
ARG
IRN
CRC
USA
BRA
MEX
SRB
FRA
CIV
FRA
GER
ESP
BEL
ENG
SRB
RUS
SEN
FRA
ESP
ENG
CIV
CHI
KSA
SEN
ESP
KOR
FRA
IRN
SEN
SUI
ESP
SEN
POL
ENG
ARG
BRA
USA
KSA
IRN
IRN
GER
CRO
ENG
CHI
POL
IRN
KSA
GER
BEL
CRC
ARG
ARG
ENG
ESP
COL
MEX
SUI
BRA
ISL
SRB
USA
AUS
AUS
BEL
SUI
POL
ARG
KSA
ARG
ARG
URU
IRN
NGA
BEL
ESP
POL
SUI
ARG
CIV
BEL
FRA
SRB
ENG
POL
URU
TUN
ARG
ENG
ITA
FRA
NGA
KSA
IRN
ENG
ARG
CHI
SUI
IRN
BEL
CHI
ARG
ARG
AUS
IRN
CHI
USA
RUS
IRN
POL
ENG
JPN
CHI
ARG
RUS
CIV
CIV
ENG
IRN
AUS
CIV
CHI
SUI
NGA
AUS
BRA
SWE
ARG
ITA
KOR
SEN
KSA
ENG
BEL
CRC
KSA
MEX
SEN
ENG
POR
ESP
TUN
SUI
SRB
KSA
IRN
SRB
CIV
ARG
IRN
SWE
BEL
ARG
JPN
ARG
ARG
SEN
AUS
SUI
EGY
RUS
SUI
BRA
BRA
CRO
KSA
USA
MEX
ESP
RUS
SEN
SEN
FRA
RUS
IRN
KOR
BEL
BEL
URU
SUI
ARG
BRA
ESP
GER
ESP
IRN
ARG
POL
COL
USA
BEL
RUS
TUN
TUN
KSA
ARG
ARG
KOR
USA
IRN
SUI
KSA
IRN
KSA
KSA
ESP
ARG
ESP
KOR
FRA
USA
EGY
ARG
ARG
ARG
BEL
SRB
CIV
KOR
ESP
ENG
EGY
KSA
ARG
GER
CIV
ARG
POR
TUN
SUI
USA
IRN
SUI
EGY
BEL
SEN
CIV
SRB
CIV
POL
POL
SWE
KOR
CHI
SWE
ENG
BEL
KSA
KOR
BRA
IRN
CIV
IRN
ESP
CIV
POR
SUI
KOR
SEN
CIV
KSA
SRB
RUS
MEX
FRA
SUI
ARG
ARG
ENG
SWE
TUN
ARG
ARG
ARG
MEX
AUS
SUI
COL
ESP
KSA
ARG
USA
IRN
ENG
KSA
ESP
COL
USA
ENG
CIV
CHI
CIV
SEN
ENG
ARG
ENG
CIV
ARG
FRA
ARG
AUS
SUI
CHI
IRN
AUS
POR
KSA
ARG
MEX
BEL
KSA
KSA
CIV
CRC
IRN
CIV
CRO
ITA
CIV
BEL
ESP
ENG
POR
ARG
COL
IRN
POR
RUS
CHI
SRB
ESP
RUS
KSA
SUI
SEN
SEN
ESP
USA
ARG
POR
POL
KSA
ENG
POR
ARG
BRA
KSA
IRN
RUS
BRA
CIV
IRN
ARG
SRB
RUS
ESP
BEL
GER
IRN
USA
SUI
POL
IRN
USA
SWE
SUI
TUN
ARG
SRB
KSA
ARG
ENG
MEX
RUS
POR
ARG
SRB
ENG
BRA
GER
KSA
GER
CIV
ESP
ESP
JPN
SUI
IRN
SRB
MEX
POR
MEX
ENG
JPN
USA
USA
KOR
ARG
SRB
ARG
NGA
SEN
ENG
KSA
AUS
CIV
SEN
CIV
ENG
ENG
ARG
TUN
ESP
ARG
ESP
JPN
NGA
BRA
POL
IRN
BRA
SEN
BEL
ARG
CHI
JPN
SEN
RUS
ENG
FRA
SUI
ARG
CHI
SRB
CIV
NGA
USA
IRN
ENG
ARG
RUS
POR
ARG
ARG
IRN
ARG
USA
CIV
ENG
MEX
GER
ARG
KSA
RUS
ITA
BRA
CIV
FRA
IRN
CRO
ARG
KSA
SEN
IRN
CIV
CIV
IRN
KSA
SEN
SUI
SRB
KSA
SEN
CRO
FRA
ENG
COL
KSA
